username,fans,year,views,likes,coins,collects,part
正直讲史-李正Str,1587000,2022,123771000.0,5775813.0,3809000.0,1058347.0,知识
水无月菌,2106000,2021,434640000.0,13507945.0,9073166.0,2825010.0,游戏
汪品先院士,1407000,2021,29809000.0,3442921.0,1643255.0,348573.0,知识
汪苏泷,886000,2022,37257000.0,2218747.0,1292667.0,558367.0,音乐
沙盘上的战争,1174000,2021,102459000.0,3957000.0,2379182.0,1161346.0,知识
河野华,2638000,2023,254670000.0,20209984.0,4159193.0,4739943.0,生活
泛式,4366000,2021,489781000.0,28836250.0,17210870.0,8534843.0,动画
泛式,5064000,2022,623344000.0,37861250.0,20512373.0,10291606.0,动画
泛式,5669000,2023,756048000.0,47821250.0,25165564.0,12601914.0,动画
泠鸢yousa,3140000,2021,156391000.0,6920971.0,6670915.0,5019644.0,音乐
泡厨房的顾小胖,1374000,2023,94714195.0,4080813.0,1778520.0,4753956.0,美食
浅影阿_,1482000,2023,158279000.0,5979045.0,1973433.0,1326822.0,音乐
浑元Rysn,2082000,2021,344206000.0,22364326.0,5090862.0,3995224.0,音乐
浑元RYSN,3059000,2022,468053000.0,34366326.0,7073896.0,5538262.0,音乐
浑元Rysn,3500000,2023,555775000.0,41527326.0,7963715.0,6644844.0,音乐
深海色带鱼,1523000,2022,353240000.0,19748059.0,5944565.0,4996328.0,鬼畜
火柴人AlanBecker,1089000,2021,186131000.0,6033561.0,1784768.0,1744643.0,动画
熊乐乐大魔王,874000,2021,81849000.0,4504000.0,989999.0,258003.0,动物圈
特效小哥studio,3907000,2023,377089000.0,28435086.0,12098672.0,6369801.0,生活
狂阿弥_,1668000,2021,96885000.0,7788624.0,5615143.0,1883258.0,影视
猫不理咖啡,1587000,2022,373429000.0,32985154.0,3592227.0,1566251.0,动物圈
王师傅和小毛毛,1531000,2022,309954000.0,23747415.0,11778628.0,2344361.0,美食
王德峰,1262000,2023,28447000.0,1720992.0,333301.0,648911.0,知识
瓶子君152,3919000,2023,525164000.0,28722589.0,13675052.0,6242809.0,动画
电影最TOP,4136000,2021,507753000.0,14975915.0,10443742.0,3782263.0,影视
电影最TOP,4847000,2022,642106000.0,20813915.0,13422929.0,4575814.0,影视
电影最TOP,5498000,2023,770438000.0,25817915.0,15755101.0,5354441.0,影视
画渣三查,1217000,2022,123846000.0,10029285.0,1210232.0,1102104.0,生活
画渣花小烙,2624000,2021,355861000.0,16302000.0,1965436.0,1466478.0,知识
画渣花小烙,4417000,2023,608739000.0,30150000.0,3614700.0,3105044.0,知识
盗月社食遇记,6516000,2021,973021000.0,52523784.0,29748997.0,6793954.0,美食
盗月社食遇记,7397000,2022,1211118000.0,70009784.0,40386997.0,9199774.0,美食
盗月社食遇记,7970000,2023,1407446000.0,83166784.0,47700101.0,10858077.0,美食
真探唐仁杰,3753000,2022,1247084000.0,69914000.0,2870996.0,2962895.0,美食
知了解压萌物,3067000,2022,186306000.0,16535000.0,1651575.0,1223684.0,动物圈
知了解压萌物,4103000,2023,276600000.0,23216000.0,2539046.0,1842211.0,动物圈
知名相声演员BBBBB大王,2139000,2023,253614000.0,13830854.0,2839379.0,1744862.0,时尚
矮乐多Aliga,1296000,2022,107148000.0,6207818.0,2102560.0,1782636.0,舞蹈
硬件茶谈,2569000,2023,164325000.0,7958741.0,6254444.0,5544577.0,科技
硬核的半佛仙人,6432000,2021,609735000.0,35431000.0,15971770.0,7469144.0,知识
硬核的半佛仙人,7067000,2022,809763000.0,45992000.0,18455394.0,9028628.0,知识
硬核的半佛仙人,7653000,2023,969119000.0,53214000.0,19202604.0,9779740.0,知识
碎嘴企鹅,1813000,2022,146064000.0,18056600.0,1103230.0,1521309.0,生活
碰碰彭碰彭,2635000,2022,392003000.0,20062845.0,6489505.0,2954199.0,音乐
祁么么mo,1427000,2022,343890761.0,14275839.0,1041999.0,2637063.0,生活
稚晖君,1726000,2021,36624000.0,2677128.0,2421108.0,879260.0,知识
籽岷,3911000,2022,1166465629.0,94662992.0,20634788.0,9834897.0,游戏
籽岷,4371000,2023,1359288629.0,113911215.0,26025804.0,12022484.0,游戏
红警HBK08,1236000,2022,637685000.0,30297014.0,5299251.0,1203657.0,游戏
终极小腾,2234000,2022,148296000.0,8651541.0,2284413.0,727356.0,汽车
绫人太太啊,3301000,2022,350358000.0,29207763.0,2848489.0,4631890.0,动画
绵羊料理,9134000,2021,830309000.0,47395174.0,26945181.0,7536161.0,美食
绵羊料理,10542000,2022,1018730000.0,61117174.0,33823181.0,9248161.0,美食
绵羊料理,11238000,2023,1150261000.0,69956174.0,37937181.0,10555161.0,美食
网不红萌叔JOEY,3334000,2022,650867000.0,36077172.0,5120960.0,5088909.0,美食
罗翔说刑法,20904000,2021,629486000.0,55377000.0,19069246.0,7021877.0,知识
罗翔说刑法,25709000,2022,774566000.0,68974000.0,23438899.0,8620760.0,知识
罗翔说刑法,29661000,2023,876163000.0,77176000.0,25583859.0,9752398.0,知识
羊羊羊PD,1448000,2023,189791000.0,8268000.0,2341531.0,1097617.0,美食
翠花不太脆,1246000,2021,121337000.0,8618000.0,5744859.0,3808215.0,音乐
翠花不太脆,1817000,2022,167641000.0,12120000.0,7203859.0,5116215.0,音乐
翠花不太脆,2080000,2023,191131000.0,14366000.0,7916911.0,5752153.0,音乐
老实憨厚的笑笑,2474000,2022,440341928.0,4438669.0,2733869.0,609649.0,游戏
老师好我叫何同学,8999000,2021,295490000.0,26893000.0,24126017.0,7057733.0,科技
老师好我叫何同学,11258000,2023,416956000.0,39764000.0,34484017.0,10424733.0,科技
老戴在此,3469000,2023,438301000.0,8340542.0,5425715.0,4008338.0,游戏
老爸测评,3816000,2021,261814000.0,15085400.0,7396562.0,2851687.0,生活
老番茄,16816000,2021,2174112000.0,109612381.0,59345418.0,24953638.0,游戏
老番茄,18146000,2022,2457558000.0,132317381.0,67465452.0,28923638.0,游戏
老番茄,19224000,2023,2680093000.0,150880381.0,75229804.0,32273638.0,游戏
老饭骨,3716000,2022,365271000.0,17545201.0,5271334.0,7349006.0,美食
自来卷三木,2383000,2021,209099000.0,19448000.0,3992652.0,1412717.0,生活
芦苇十三少,2262000,2023,411442000.0,19690518.0,8032685.0,4292541.0,动画
花少北、,5855000,2021,537137000.0,31048000.0,18090000.0,7219832.0,游戏
花少北、,6700000,2023,682291000.0,42691000.0,23585000.0,9597832.0,游戏
芳斯塔芙,2837000,2022,318437000.0,15049693.0,7260278.0,3161217.0,知识
芳斯塔芙,3854000,2023,404543000.0,20275693.0,8450779.0,4164541.0,知识
苏打baka,2011000,2022,198285000.0,11561863.0,3444161.0,2562333.0,游戏
苏星河牛通,2088000,2021,76673000.0,4992000.0,2894871.0,1774868.0,科技
范李猿,1423000,2022,87827003.0,3557627.0,1839465.0,4054540.0,生活
范李猿,2238000,2023,119224003.0,5008627.0,2381830.0,6040644.0,生活
莴苣某人,4595000,2022,402239000.0,8056259.0,6593162.0,4505021.0,游戏
衣戈猜想,2819000,2022,167010000.0,13414000.0,10212419.0,4627477.0,知识
记录生活的蛋黄派,6857000,2021,1115722000.0,71427563.0,17271943.0,4647483.0,美食
记录生活的蛋黄派,8645000,2023,1540551000.0,103649563.0,25412943.0,7544631.0,美食
设计师深海,1415000,2022,85455512.0,6453330.0,1290873.0,1953529.0,知识
谭乔,4267000,2022,505314000.0,30631897.0,9434415.0,3361198.0,资讯
进击的金厂长,4139000,2023,971724000.0,67141506.0,36596611.0,15164851.0,动画
远古黑金,929000,2021,75759718.0,5214641.0,3462155.0,1276084.0,动画
迷因水母,1916000,2023,97718000.0,6802720.0,2699695.0,2473662.0,知识
逍遥散人,5493000,2021,672016000.0,25666731.0,19545565.0,10844757.0,游戏
逍遥散人,6281000,2022,774305000.0,31451731.0,22707565.0,12534148.0,游戏
逍遥散人,6676000,2023,872725000.0,36164731.0,25310995.0,14022074.0,游戏
逗比的雀巢,7080000,2023,1080273000.0,60913000.0,20033562.0,9817900.0,生活
酸梨大王,779000,2022,137542000.0,8998790.0,2351618.0,1006484.0,舞蹈
阿特警官,2493000,2021,262481000.0,13280196.0,1050812.0,691492.0,资讯
阿萨aza,1271000,2022,150117537.0,10602005.0,3638786.0,4704647.0,动画
附魔星Fms,979000,2021,81347000.0,3701660.0,2234390.0,838540.0,游戏
雨琪在芬兰,1630000,2023,260160000.0,14769844.0,6990722.0,1046766.0,美食
雨说体育徐静雨,1054000,2022,466868574.0,9495207.0,1387789.0,709731.0,运动
青莲又失利了,1727000,2021,147879000.0,8767000.0,1787934.0,793875.0,游戏
非非宇Fay,1283000,2022,90014000.0,6896000.0,671034.0,539147.0,影视
食贫道,3803000,2023,359229000.0,22605937.0,14919285.0,4236086.0,美食
香香软软的小泡芙,1367000,2021,142031897.0,7356603.0,1273733.0,947531.0,动物圈
马刀刻森,1706000,2023,194808000.0,11640681.0,4140456.0,1968801.0,动画
魔法Zc目录,1577000,2021,251268000.0,9218548.0,5491389.0,2226539.0,游戏
魔法Zc目录,2332000,2022,399199000.0,16071548.0,8259188.0,3423315.0,游戏
鹦鹉梨,1122000,2021,74705198.0,3983258.0,1279263.0,1362112.0,时尚
鹦鹉梨,1820000,2023,176310198.0,9823258.0,2874395.0,2892885.0,时尚
黑猫厨房,3849000,2021,301615000.0,20163321.0,8453591.0,2970436.0,美食
